,DIAM_CIRCLE_IMAGEunique_values,counts
1532,14.38,11
1533,21.07,11
1534,20.32,11
1535,11.91,11
1536,14.69,11
1537,15.0,11
1538,12.76,11
1539,20.19,11
1540,15.2,11
1541,18.24,11
1542,12.71,11
1543,22.56,11
1544,20.66,11
1545,19.72,11
1546,18.01,11
1547,14.01,11
1548,15.76,11
1549,18.16,11
1550,12.47,11
1551,18.5,11
1552,22.65,11
1553,15.48,11
1554,16.34,11
1555,12.19,11
1556,21.77,11
1557,23.5,11
1558,20.91,11
1559,21.7,11
1560,18.71,11
1561,15.05,11
1562,16.94,10
1563,17.13,10
1564,18.26,10
1565,19.94,10
1566,14.37,10
1567,13.75,10
1568,18.21,10
1569,16.79,10
1570,14.14,10
1571,21.28,10
1572,18.19,10
1573,16.04,10
1574,15.74,10
1575,22.76,10
1576,12.48,10
1577,16.05,10
1578,21.8,10
1579,15.69,10
1580,18.6,10
1581,18.4,10
1582,15.12,10
1583,17.15,10
1584,17.33,10
1585,14.81,10
1586,17.75,10
1587,18.11,10
1588,16.85,10
1589,23.65,10
1590,17.45,10
1591,20.35,10
1592,16.81,10
1593,24.96,10
1594,18.93,10
1595,18.2,10
1596,12.1,10
1597,17.58,10
1598,19.75,10
1599,16.55,10
1600,19.64,10
1601,18.03,10
1602,18.12,10
1603,17.98,10
1604,22.18,10
1605,17.25,10
1606,14.57,10
1607,15.64,10
1608,16.52,10
1609,19.52,10
1610,18.09,10
1611,16.95,10
1612,15.15,10
1613,14.58,10
1614,17.44,10
1615,18.81,10
1616,17.63,10
1617,16.49,10
1618,16.43,10
1619,18.05,10
1620,22.16,10
1621,19.43,10
1622,18.63,10
1623,17.95,10
1624,24.58,10
1625,25.07,10
1626,19.87,10
1627,21.96,10
1628,19.19,10
1629,16.33,10
1630,18.9,10
1631,13.45,10
1632,15.21,10
1633,18.94,10
1634,16.76,10
1635,23.49,10
1636,26.6,10
1637,17.97,10
1638,16.61,10
1639,24.18,10
1640,15.35,10
1641,14.66,10
1642,24.76,10
1643,18.95,10
